gi|1000108|gb|AAA92500|	 melatonin receptor [Xenopus laevis]
gi|10443740|gb|AAG17558|	 calcium/calmodulin-dependent protein kinase II gamma M subunit [Xenopus laevis]
gi|10443742|gb|AAG17559|	 calcium/calmodulin-dependent protein kinase II gamma subunit variable region [Xenopus laevis]
gi|10443744|gb|AAG17560|	 calcium/calmodulin-dependent protein kinase II gamma B variable region [Xenopus laevis]
gi|10443746|gb|AAG17561|	 calcium/calmodulin-dependent protein kinase II gamma C variable region [Xenopus laevis]
gi|1044938|gb|CAA63149|	 RNA helicase p54 [Xenopus laevis]
gi|1045604|gb|AAC59783|	 CCTgamma [Xenopus laevis]
gi|104745164|gb|ABF74593|	 superficial protein 1 [Xenopus laevis]
gi|1050411|gb|AAB38014|	 nuclear factor I-B1 [Xenopus laevis]
gi|1050413|gb|AAB38015|	 nuclear factor I-B2 [Xenopus laevis]
gi|1050415|gb|AAB38016|	 nuclear factor I-B3 [Xenopus laevis]
gi|1050417|gb|AAB38017|	 nuclear factor I-C1 [Xenopus laevis]
gi|1050419|gb|AAB38018|	 nuclear factor I-C2 [Xenopus laevis]
gi|10505242|gb|AAG18422|	 hexokinase I [Xenopus laevis]
gi|10505344|gb|AAG18441|	 insulin receptor substrate protein [Xenopus laevis]
gi|1050849|gb|CAA58710|	 MAP kinase phosphatase [Xenopus laevis]
gi|1050937|gb|CAA52011|	 cardiac myosin heavy chain [Xenopus laevis]
gi|1054622|gb|BAA07500|	 XRad51.2 [Xenopus laevis]
gi|1054624|gb|BAA07501|	 XRad51.1 [Xenopus laevis]
gi|1055224|gb|AAA81168|	 cellular nucleic acid binding protein [Xenopus laevis]
gi|1061303|gb|CAA63437|	 Xvent-1 [Xenopus laevis]
gi|1063411|gb|CAA62103|	 unnamed protein product [Xenopus laevis]
gi|106364310|gb|BAE95197|	 receptor-interacting protein 1 [Xenopus laevis]
gi|106364316|gb|BAE95198|	 receptor-interacting protein 1 beta [Xenopus laevis]
gi|1065161|gb|1XSO_A|	 Chain A, Three-Dimensional Structure Of Xenopus Laevis Cu,Zn Superoxide Dismutase B Determined By X-Ray Crystallography At 1.5 Angstroms Resolution
gi|1065162|gb|1XSO_B|	 Chain B, Three-Dimensional Structure Of Xenopus Laevis Cu,Zn Superoxide Dismutase B Determined By X-Ray Crystallography At 1.5 Angstroms Resolution
gi|1065619|gb|BAA07657|	 pleiotrophic factor-alpha2 [Xenopus laevis]
gi|1065621|gb|BAA07658|	 pleiotrophic factor-alpha1 [Xenopus laevis]
gi|1065623|gb|BAA07659|	 pleiotrophic factor-beta1 [Xenopus laevis]
gi|1065625|gb|BAA07660|	 pleiotrophic factor-beta2 [Xenopus laevis]
gi|1070391|gb|CAA63477|	 unknown transmembrane protein [Xenopus laevis]
gi|10717015|gb|AAG22008|	 Hand2 [Xenopus laevis]
gi|10717017|gb|AAG22009|	 Hand2' [Xenopus laevis]
gi|1071782|gb|CAA62212|	 unnamed protein product [Xenopus laevis]
gi|10719652|gb|AAG22076|	 protein phosphatase-2A B'epsilon subunit [Xenopus laevis]
gi|10719898|sp|Q9YGY0|	 RecName: Full=Axin-1; AltName: Full=Axis inhibition protein 1; Short=xAxin
gi|10720012|sp|O73615|	 RecName: Full=Heart- and neural crest derivatives-expressed protein 1; AltName: Full=Extraembryonic tissues, heart, autonomic nervous system and neural crest derivatives-expressed protein 1; Short=eHAND
gi|10720017|sp|P57101|	 RecName: Full=Heart- and neural crest derivatives-expressed protein 2; AltName: Full=Deciduum, heart, autonomic nervous system and neural crest derivatives-expressed protein 2; Short=dHAND
gi|10732662|gb|AAG22492|	 connexin-41 [Xenopus laevis]
gi|10764780|gb|AAG22818|	 RNA helicase II/Gu [Xenopus laevis]
gi|1079288|gb|S53609|	 DNA mismatch repair protein MSH2 - African clawed frog
gi|1079297|gb|A56570|	 homeobox protein Distal-less (DLL-1) - African clawed frog
gi|1079309|gb|S52242|	 protein kinase (EC 2.7.1.-) p46XlEg22 - African clawed frog
gi|1079323|gb|S52928|	 XSUG1 protein - African clawed frog
gi|1079564|gb|AAC59726|	 RING finger subunit MAT [Xenopus laevis]
gi|10798738|gb|CAC12834|	 Pitx1 protein [Xenopus laevis]
gi|10799935|gb|CAC12895|	 winged helix transcription factor [Xenopus laevis]
gi|10801038|gb|CAC12963|	 winged helix transcription factor [Xenopus laevis]
gi|10801727|gb|BAB16755|	 transcription elongation factor XSII-K1 [Xenopus laevis]
gi|10834850|gb|AAG22859|	 CCAAT box transcription factor p122 subunit [Xenopus laevis]
gi|10835615|gb|1F70_A|	 Chain A, Refined Solution Structure Of Calmodulin N-Terminal Domain
gi|1085218|gb|S53726|	 protein kinase PKN - African clawed frog
gi|1086556|gb|AAC59728|	 XPolycomb [Xenopus laevis]
gi|1086577|gb|AAC59729|	 xbmi-1 [Xenopus laevis]
gi|108743260|gb|BAE95406|	 LIM-domain-binding protein 2b [Xenopus laevis]
gi|108743262|gb|BAE95407|	 LIM-domain-binding protein 2a [Xenopus laevis]
gi|108860810|sp|Q6NRJ5|	 RecName: Full=Nuclear distribution protein nudE homolog 1-B
gi|108860889|sp|Q6GM65|	 RecName: Full=Phospholipase A-2-activating protein; Short=PLA2P; Short=PLAP
gi|108860915|sp|Q32NN2|	 RecName: Full=Protein quaking-A; Short=Xqua
gi|108885282|sp|P24033|	 RecName: Full=Cyclin-dependent kinase 1-B; Short=CDK1-B; AltName: Full=Cell division control protein 2 homolog 2; AltName: Full=Cell division control protein 2-B; AltName: Full=Cell division protein kinase 1; AltName: Full=p34 protein kinase 2
gi|108935828|sp|Q5XHM7|	 RecName: Full=Carbohydrate sulfotransferase 12; AltName: Full=Chondroitin 4-O-sulfotransferase 2; AltName: Full=Chondroitin 4-sulfotransferase 2; Short=C4ST-2; Short=C4ST2
gi|108935850|sp|P55861|	 RecName: Full=DNA replication licensing factor mcm2; AltName: Full=BM28-homolog; AltName: Full=Minichromosome maintenance protein 2; Short=xMCM2; AltName: Full=p112
gi|108935882|sp|Q5U274|	 RecName: Full=Prothymosin alpha-A
gi|1090506|gb|2019237A|	 cadherin
gi|1090518|gb|2019247A|	 fascin
gi|109157556|gb|2F8N_A|	 Chain A, 2.9 Angstrom X-Ray Structure Of Hybrid Macroh2a Nucleosomes
gi|109157557|gb|2F8N_B|	 Chain B, 2.9 Angstrom X-Ray Structure Of Hybrid Macroh2a Nucleosomes
gi|109157559|gb|2F8N_E|	 Chain E, 2.9 Angstrom X-Ray Structure Of Hybrid Macroh2a Nucleosomes
gi|109157560|gb|2F8N_F|	 Chain F, 2.9 Angstrom X-Ray Structure Of Hybrid Macroh2a Nucleosomes
gi|109157561|gb|2F8N_H|	 Chain H, 2.9 Angstrom X-Ray Structure Of Hybrid Macroh2a Nucleosomes
gi|10946431|gb|AAG24910|	 orphan nuclear receptor BXR-beta [Xenopus laevis]
gi|1095500|gb|2109230A|	 MSS1-like protein
gi|1095501|gb|2109231A|	 protein kinase PKN
gi|1095557|gb|2109274A|	 ribosomal protein L22
gi|1095779|gb|2109382A|	 hepatocyte growth factor
gi|1096154|gb|2111245A|	 neuropeptide Y/peptide YY receptor
gi|109631104|gb|ABG35747|	 receptor tyrosine kinase ErbB4 [Xenopus laevis]
gi|109631106|gb|ABG35748|	 receptor tyrosine kinase ErbB2 [Xenopus laevis]
gi|109631108|gb|ABG35749|	 epidermal growth factor receptor [Xenopus laevis]
gi|1096595|gb|2111505A|	 NeuroD protein
gi|1096610|gb|2112199A|	 H/K ATPase:SUBUNIT=alpha
gi|1096957|gb|2113204A|	 Orn decarboxylase antizyme
gi|1097108|gb|2113258A|	 estrogen receptor
gi|1098061|gb|2115220A|	 P-glycoprotein
gi|1098185|gb|2115291A|	 bcl-2-like gene
gi|1098186|gb|2115291B|	 R1 gene
gi|1098311|gb|2115380A|	 insulin receptor substrate 1-like protein
gi|109896315|sp|Q3B8G4|	 RecName: Full=Protein YIPF3; AltName: Full=YIP1 family member 3
gi|1098967|gb|AAA82616|	 bone morphogenetic protein 7 [Xenopus laevis]
gi|109940096|sp|P49739|	 RecName: Full=Maternal DNA replication licensing factor mcm3; AltName: Full=Maternal minichromosome maintenance protein 3; Short=mMCM3; Short=xMCM3; AltName: Full=P1 homolog; AltName: Full=XRLF subunit beta; AltName: Full=p100
gi|109940097|sp|P30664|	 RecName: Full=DNA replication licensing factor mcm4-B; AltName: Full=CDC21 homolog-B; AltName: Full=Minichromosome maintenance protein 4-B; Short=xMCM4-B; AltName: Full=P1-CDC21-B
gi|109940098|sp|Q91876|	 RecName: Full=DNA replication licensing factor mcm7-A; AltName: Full=CDC47 homolog A; AltName: Full=CDC47p; AltName: Full=Minichromosome maintenance protein 7-A; Short=xMCM7-A; AltName: Full=p90
gi|109940214|sp|Q4KL97|	 RecName: Full=Ankyrin repeat domain-containing protein 1
gi|10998388|gb|AAG25922|	 ubiquitin fusion degradation 1-like protein [Xenopus laevis]
gi|110164833|gb|ABG49498|	 Wnt10a [Xenopus laevis]
gi|110164845|gb|ABG49504|	 calponin 2 copy A [Xenopus laevis]
gi|110164847|gb|ABG49505|	 calponin 2 copy B [Xenopus laevis]
gi|110180591|gb|ABG54506|	 Cdc4 [Xenopus laevis]
gi|110264571|gb|ABG56875|	 Rho guanine nucleotide exchange factor 19 [Xenopus laevis]
gi|110270583|gb|ABG57077|	 paired box protein 1 [Xenopus laevis]
gi|110278982|sp|Q2KHP9|	 RecName: Full=Fragile X mental retardation protein 1 homolog B; Short=FMRP-B; Short=Protein FMR-1-B; Short=xFMR1-B
gi|110279021|sp|Q32NM7|	 RecName: Full=Immunoglobulin-like domain-containing receptor 1; Flags: Precursor
gi|110282964|sp|P51115|	 RecName: Full=Fragile X mental retardation syndrome-related protein 1 homolog A; Short=xFxr1p-A
gi|110287669|sp|P84775|	 RecName: Full=Insulin-like growth factor I-B; Short=IGF-I''; Short=IGF-IB; AltName: Full=Somatomedin; Flags: Precursor
gi|110287943|sp|Q3KPU8|	 RecName: Full=RING finger protein 166
gi|110287969|sp|Q9W603|	 RecName: Full=FACT complex subunit SPT16; AltName: Full=DNA unwinding factor 140 kDa subunit; Short=DUF140; AltName: Full=Facilitates chromatin transcription complex subunit spt16
gi|11034807|gb|AAG27092|	 RNA-binding protein Y14 [Xenopus laevis]
gi|11035016|gb|AAG01537|	 imitation switch ISWI [Xenopus laevis]
gi|110468094|gb|ABG74914|	 kinesin heavy chain [Xenopus laevis]
gi|110555951|gb|CAJ09950|	 lysyl oxidase-like 3 [Xenopus laevis]
gi|110556599|gb|BAE98093|	 keratin [Xenopus laevis]
gi|110611210|gb|ABG77975|	 glial cell line-derived neurotrophic factor [Xenopus laevis]
gi|110628609|gb|ABG79775|	 dachshund 1 [Xenopus laevis]
gi|11065780|gb|AAG28338|	 Xbr-1a/Xvent-2 protein [Xenopus laevis]
gi|11066192|gb|AAG28492|	 class IV POU-homeodomain protein [Xenopus laevis]
gi|11066458|gb|AAG28595|	 steroidogenic acute regulatory protein [Xenopus laevis]
gi|110676597|gb|ABG85163|	 RPA interacting protein delta [Xenopus laevis]
gi|110707456|gb|ABD37674|	 mammalian-like melanopsin [Xenopus laevis]
gi|11071924|gb|BAB17310|	 Prox 1 [Xenopus laevis]
gi|1107469|gb|AAA83018|	 neurofilament protein [Xenopus laevis]
gi|1107470|gb|AAA83019|	 neuronal intermediate filament protein [Xenopus laevis]
gi|110808238|sp|Q3BJS3|	 RecName: Full=Forkhead box protein N3
gi|110808240|sp|Q3BJS1|	 RecName: Full=Forkhead box protein N4
gi|110808241|sp|Q3BJS0|	 RecName: Full=Forkhead box protein N5
gi|110808246|sp|Q63ZH2|	 RecName: Full=Forkhead box protein I2-B; AltName: Full=XlFoxI2-B
gi|110815933|sp|Q6DCK1|	 RecName: Full=Lysophospholipid acyltransferase LPCAT4; AltName: Full=1-acylglycerol-3-phosphate O-acyltransferase 7; Short=1-AGP acyltransferase 7; Short=1-AGPAT 7; AltName: Full=Acyltransferase-like 3; AltName: Full=Lysophosphatidylcholine acyltransferase 4; AltName: Full=Lysophosphatidylethanolamine acyltransferase 2
gi|110825760|sp|Q32N19|	 RecName: Full=Protein ZNF750
gi|110832772|sp|Q3KPK4|	 RecName: Full=Borealin; AltName: Full=Cell division cycle-associated protein 8; AltName: Full=Dasra-B; Short=DasraB; Short=xDasraB
gi|1109658|gb|BAA09646|	 transcription factor [Xenopus laevis]
gi|111145603|gb|ABH06968|	 N-ethylmaleimide sensitive factor [Xenopus laevis]
gi|111146889|gb|ABH07383|	 POU class V protein Oct-25 [Xenopus laevis]
gi|111185513|gb|AAH46854|	 MGC53207 protein [Xenopus laevis]
gi|111185514|gb|AAH44114|	 LOC398510 protein [Xenopus laevis]
gi|111185516|gb|AAH41256|	 Eif2b3 protein [Xenopus laevis]
gi|111185517|gb|AAH44032|	 U2af2 protein [Xenopus laevis]
gi|111185518|gb|AAH44718|	 LOC398527 protein [Xenopus laevis]
gi|111185519|gb|AAH41742|	 MGC52827 protein [Xenopus laevis]
gi|111185520|gb|AAH44014|	 Smarcc1 protein [Xenopus laevis]
gi|111185521|gb|AAH43631|	 Gpd1 protein [Xenopus laevis]
gi|111185522|gb|AAH46847|	 Homer2 protein [Xenopus laevis]
gi|111185523|gb|AAH57298|	 MGC64382 protein [Xenopus laevis]
gi|111185524|gb|AAH53803|	 Maea protein [Xenopus laevis]
gi|111185526|gb|AAH60382|	 LOC398937 protein [Xenopus laevis]
gi|111185527|gb|AAH56057|	 LOC398692 protein [Xenopus laevis]
gi|111185528|gb|AAH54975|	 Cmpk1 protein [Xenopus laevis]
gi|111185530|gb|AAH68849|	 Unknown (protein for MGC:81509) [Xenopus laevis]
gi|111185531|gb|AAH59324|	 MGC69058 protein [Xenopus laevis]
gi|111185532|gb|AAH43891|	 MGC53818 protein [Xenopus laevis]
gi|111185534|gb|AAH63720|	 LOC399077 protein [Xenopus laevis]
gi|11119117|gb|AAG30507|	 centrin 3 [Xenopus laevis]
gi|11119119|gb|AAG30508|	 transcription factor Hoxa2 [Xenopus laevis]
gi|11119121|gb|AAG30509|	 transcription factor Hoxa2b [Xenopus laevis]
gi|11119968|gb|AAG30809|	 cadherin-6 [Xenopus laevis]
gi|11119970|gb|AAG30810|	 cadherin-6' [Xenopus laevis]
gi|11120568|gb|AAG30928|	 Bloom's syndrome-like protein [Xenopus laevis]
gi|11120639|gb|AAG01366|	 progesterone receptor PR [Xenopus laevis]
gi|111278871|gb|ABH09131|	 surfactant protein C [Xenopus laevis]
gi|111278873|gb|ABH09132|	 surfactant protein B [Xenopus laevis]
gi|111307761|gb|AAI21193|	 Mki67 protein [Xenopus laevis]
gi|11139432|gb|AAG31697|	 neurofilament protein [Xenopus laevis]
gi|11141760|gb|AAG32057|	 RALDH2 [Xenopus laevis]
gi|111598416|gb|AAH80390|	 MGC82036 protein [Xenopus laevis]
gi|111598420|gb|AAH80406|	 Sept1 protein [Xenopus laevis]
gi|111598425|gb|AAH80414|	 LOC100125662 protein [Xenopus laevis]
gi|111598428|gb|AAH80420|	 Slc12a9 protein [Xenopus laevis]
gi|111598432|gb|AAH80421|	 Mpst protein [Xenopus laevis]
gi|111598440|gb|AAH80396|	 Gosr1 protein [Xenopus laevis]
gi|111598444|gb|AAH80413|	 MGC85374 protein [Xenopus laevis]
gi|111598527|gb|AAH80395|	 Vezf1 protein [Xenopus laevis]
gi|111598531|gb|AAH80401|	 MGC86203 protein [Xenopus laevis]
gi|111598535|gb|AAH80415|	 LOC398027 protein [Xenopus laevis]
gi|111598539|gb|AAH80427|	 LOC398673 protein [Xenopus laevis]
gi|111598586|gb|AAH80429|	 Mtf1 protein [Xenopus laevis]
gi|111924350|gb|BAF02790|	 aquaporin-x5 [Xenopus laevis]
gi|1122392|gb|CAA63871|	 NMDA glutamate receptor subunit [Xenopus laevis]
gi|11227023|gb|CAC16503|	 unnamed protein product [Xenopus laevis]
gi|112358845|gb|ABI15341|	 dystrophin isoform Dp260 [Xenopus laevis]
gi|112382663|gb|ABI17539|	 WD40 repeat protein Pix1 [Xenopus laevis]
gi|112418758|gb|AAI22480|	 LOC733345 protein [Xenopus laevis]
gi|112418760|gb|AAI22500|	 LOC496150 protein [Xenopus laevis]
gi|112418762|gb|AAI22502|	 LOC496062 protein [Xenopus laevis]
gi|112419020|gb|AAI22466|	 Cyhr1-b protein [Xenopus laevis]
gi|112419022|gb|AAI22471|	 Unknown (protein for MGC:154192) [Xenopus laevis]
gi|112419024|gb|AAI22475|	 LOC733356 protein [Xenopus laevis]
gi|112419026|gb|AAI22481|	 LOC733347 protein [Xenopus laevis]
gi|112419030|gb|AAI22486|	 LOC733282 protein [Xenopus laevis]
gi|112419032|gb|AAI22490|	 LOC733236 protein [Xenopus laevis]
gi|112419034|gb|AAI22494|	 LOC779072 protein [Xenopus laevis]
gi|112419036|gb|AAI22498|	 LOC496301 protein [Xenopus laevis]
gi|112419040|gb|AAI22508|	 Snx15 protein [Xenopus laevis]
gi|112419044|gb|AAI22514|	 LOC443711 protein [Xenopus laevis]
gi|112419046|gb|AAI22515|	 MGC82380 protein [Xenopus laevis]
gi|112419048|gb|AAI22516|	 LOC443718 protein [Xenopus laevis]
gi|112419050|gb|AAI22495|	 Unknown (protein for IMAGE:8073253) [Xenopus laevis]
gi|112419222|gb|AAI22467|	 Unknown (protein for IMAGE:7204829) [Xenopus laevis]
gi|112419224|gb|AAI22485|	 LOC398277 protein [Xenopus laevis]
gi|112419226|gb|AAI22505|	 Unknown (protein for IMAGE:8070639) [Xenopus laevis]
gi|112419228|gb|AAI22510|	 Unknown (protein for MGC:154251) [Xenopus laevis]
gi|112419230|gb|AAI22517|	 LOC443662 protein [Xenopus laevis]
gi|112419317|gb|AAI22489|	 MGC154222 protein [Xenopus laevis]
gi|112419319|gb|AAI22513|	 MGC78950 protein [Xenopus laevis]
gi|112419446|gb|AAI22482|	 LOC733355 protein [Xenopus laevis]
gi|112419448|gb|AAI22483|	 Dydc1 protein [Xenopus laevis]
gi|112419450|gb|AAI22493|	 LOC733342 protein [Xenopus laevis]
gi|112419452|gb|AAI22509|	 Unknown (protein for MGC:154250) [Xenopus laevis]
gi|112434002|gb|ABI18347|	 Tsh3 [Xenopus laevis]
gi|11245470|gb|AAG33628|	 nuclear domain-10 protein NDP52 [Xenopus laevis]
gi|112490091|gb|2C1W_A|	 Chain A, The Structure Of Xendou: A Splicing Independent Snorna Processing Endoribonuclease
gi|112490092|gb|2C1W_B|	 Chain B, The Structure Of Xendou: A Splicing Independent Snorna Processing Endoribonuclease
gi|112490093|gb|2C1W_C|	 Chain C, The Structure Of Xendou: A Splicing Independent Snorna Processing Endoribonuclease
gi|112491337|gb|2HGH_A|	 Chain A, Transcription Factor Iiia Zinc Fingers 4-6 Bound To 5s Rrna 55mer (Nmr Structure)
gi|1124998|gb|CAA63927|	 ribosomal protein homologue to human L22 [Xenopus laevis]
gi|1125741|gb|AAA83569|	 fibroblast growth factor receptor ligand 1 [Xenopus laevis]
gi|112688|sp|P29309|	 RecName: Full=14-3-3-like protein
gi|112724|sp|P13420|	 RecName: Full=Nucleoside diphosphate-linked moiety X motif 6; Short=Nudix motif 6; AltName: Full=Protein GFG
gi|11276023|gb|AAG33858|	 Mcm10p [Xenopus laevis]
gi|112797|sp|P11434|	 RecName: Full=Cytoskeletal protein 4.1; AltName: Full=Band 4.1
gi|112821091|gb|ABI24191|	 corticotropin-releasing factor a [Xenopus laevis]
gi|112821093|gb|ABI24192|	 corticotropin-releasing factor b [Xenopus laevis]
gi|112821186|gb|BAF03223|	 prolactin-releasing peptide [Xenopus laevis]
gi|112852|sp|P18844|	 RecName: Full=Neuroendocrine protein 7B2; AltName: Full=Secretogranin V; Contains: RecName: Full=N-terminal peptide; Contains: RecName: Full=C-terminal peptide
gi|1129121|gb|AAA83996|	 collagenase 3 [Xenopus laevis]
gi|1129173|gb|CAA63826|	 KLP2 protein [Xenopus laevis]
gi|1129175|gb|CAA63825|	 NMDA glutamate receptor subunit [Xenopus laevis]
gi|112932|sp|P28824|	 RecName: Full=Neuropilin-1; AltName: Full=A5 antigen; AltName: Full=A5 protein; Flags: Precursor
gi|112950045|gb|ABI26626|	 alpha-tropomyosin [Xenopus laevis]
gi|113051|sp|P22456|	 RecName: Full=Acetylcholine receptor subunit alpha-1-A; Flags: Precursor
gi|113057|sp|P05377|	 RecName: Full=Acetylcholine receptor subunit alpha-1-B; Flags: Precursor
gi|113091|sp|P09628|	 RecName: Full=Acetylcholine receptor subunit delta; Flags: Precursor
gi|113102|sp|P05376|	 RecName: Full=Acetylcholine receptor subunit gamma; Flags: Precursor
gi|113228|sp|P04751|	 RecName: Full=Actin, alpha cardiac muscle 1; AltName: Full=Actin alpha 1; AltName: Full=Alpha-cardiac actin; Flags: Precursor
gi|113245|sp|P10995|	 RecName: Full=Actin, alpha skeletal muscle 2; AltName: Full=Actin alpha 2; Short=alpha2; Short=alpha2p; Flags: Precursor
gi|113254|sp|P04752|	 RecName: Full=Actin, alpha skeletal muscle 3; AltName: Full=Actin alpha 3; AltName: Full=Femoral (alpha 3) actin; Flags: Precursor
gi|11342589|gb|CAC17015|	 putative alanine:glyoxylate aminotransferase [Xenopus laevis]
gi|1134980|gb|AAB88584|	 arrestin [Xenopus laevis]
gi|113569|sp|P08759|	 RecName: Full=Serum albumin A; AltName: Full=68 kDa serum albumin; Flags: Precursor
gi|113571|sp|P14872|	 RecName: Full=Serum albumin B; AltName: Full=74 kDa serum albumin; Flags: Precursor
